人名,x坐标,y坐标,z坐标
华筝,0.0055469497956826454,-0.007165537213088507,0.028241965738975753
华赫艮,-0.006193362727722574,0.02576331479717759,-0.03182822466425827
卓不凡,0.0171629249075177,-0.01159896590414569,-0.027640885514236158
卓天雄,0.0003500850225593784,-0.031224863307347545,-0.008569302816812605
单伯山,-0.0174393345230889,0.0014177755308703332,-0.023324799923015546
单季山,0.004167433877522633,0.04425776219671789,-0.049529121687704764
单小山,-0.025478062273143014,-0.03531634249732817,0.0030265769340547953
单正,0.050326308020418584,-0.003030627071919395,-0.0055151142469831915
单铁生,-0.023479719660086107,0.012098920390811816,0.017287131476026278
南仁通,0.006950017346291361,-0.031629334518400956,0.0427266470697944
南兰,-0.031317107206429884,0.024515909360834913,-0.027224660239334886
南希仁,0.054008956525180465,-0.006380873521158404,0.018439844396091996
南怀仁,0.00693411863868863,-0.018551194072916877,-0.007692923110212078
博尔忽,0.036824397927866716,0.027182251990460808,-0.05308871826542004
博尔术,0.07442948312066928,-0.01776274891337871,0.0048971773966726756
卜垣,0.0029735578089640827,-0.03317478167176782,0.003136555918530803
卜沉,-0.04334528876922737,0.03205479114176942,-0.00508831956819031
卢一峰,-0.00440699864850251,-0.030501192988124988,-0.0011062342328273507
卫四娘,0.0248090341776836,-0.0006536329826262041,0.010782118000914713
卫天望,-0.03410427020765285,0.03915279764772115,0.023415043540708745
卫春华,0.024598073018928086,0.010249915183485699,-0.029705609188556168
卫璧,0.0011743797395240522,0.014391390073932935,-0.051578641080621726
双儿,0.07493707308030662,-0.0006392995349335355,0.03308385305582373
古笃诚,0.058602214906794556,-0.03201340804132793,-0.044426050038356986
史仲俊,-0.01655047137812393,0.02536364128572951,-0.016120106824303496
史仲猛,0.016003593398164716,0.02192978177283561,0.015235829823725414
史伯威,-0.0021690106361799263,0.06260900869211339,-0.010146252864066832
史叔刚,-0.016025686738228174,-0.025207039231140208,-0.026174202518130192
史季强,-0.012551143464591814,-0.019876243776007343,-0.02458126663005678
史小翠,0.0009998912612449288,-0.025613446820607833,-0.003616340157670027
史松,-0.016811075029095363,0.006533839966774318,-0.027129154118086477
史火龙,-0.008980361619500013,-0.046643822758994695,0.004487009784142868
史登达,-0.02230864868717272,0.007003988748407648,-0.0025621653629441096
史秉光,0.06465717070598997,-0.06979381533537206,-0.012334953749823782
史红石,0.04173762121786328,0.00786504586545331,0.003751411255284303
史镖头,-0.032275775647860376,-0.0318276456299863,0.02856959547565772
叶二娘,0.015017862462975038,-0.014498211002482006,0.03628699012335489
司徒伯雷,-0.006625227921902919,0.02065632782246014,0.06341869165244216
司徒千钟,-0.053157283213261894,-0.03427469270073253,-0.0091972993335356
司徒横,0.024227537844597982,0.0466123922797898,0.02269592464621765
